;topic_num;topic_size;mean_token_length;dist_from_corpus;tf_df_dist;doc_prominence;topic_coherence;topic_exclusivity;n;;
1;1;6700,38083;4,4;0,49299383;135,8157984;1506;-51,15006402;8,92641946;5;;
2;2;5902,294541;4,5;0,446441661;147,9388049;2048;-45,46991146;8,991979287;5;;
3;3;5478,816067;4,9;0,536691436;120,7587578;1907;-53,37313751;9,507350789;5;;
4;4;5828,922213;5,5;0,518711942;92,28040262;2019;-58,09645912;9,456170277;5;;-51,21812846
5;5;4901,586349;5,3;0,513958226;140,1128464;2333;-48,00107016;9,545471588;5;;
6;1;4816,71532;4,3;0,460697332;147,0400592;1266;-48,73294525;9,196378368;6;;
7;2;4695,139434;5,2;0,559689023;116,3030504;1267;-47,60569602;9,358820863;6;;-53,19476911
8;3;4113,968841;5,3;0,541774382;140,1128464;1575;-48,00107016;9,540410206;6;;
9;4;4848,341425;5,4;0,497819312;111,3233535;922;-60,87903788;9,544210682;6;;
10;5;5661,510814;4,8;0,510258239;114,5209482;965;-56,95823891;9,254989334;6;;
11;6;4676,324166;4,9;0,54974816;116,7668223;1208;-56,99162647;9,62044682;6;;
12;1;4247,049413;3,9;0,52722236;132,1517947;669;-45,1649877;9,337627543;7;;
13;2;4020,864345;4,8;0,569380082;119,7000886;963;-52,29498996;9,605758589;7;;
14;3;4871,52135;4,8;0,542353927;114,5209482;673;-56,95823891;9,29872572;7;;-52,5744218
15;4;3426,610137;5,9;0,55606176;130,8911724;1119;-52,76686716;9,687261168;7;;
16;5;4067,267396;5,4;0,580461261;114,9425245;963;-53,00791848;9,48845153;7;;
17;6;4076,086361;4,5;0,497811767;142,0262714;903;-51,58629523;9,236776991;7;;
18;7;4102,600997;5,5;0,515829602;116,0910999;657;-56,24165516;9,533505227;7;;
19;1;4316,837152;4,8;0,5486782;114,5209482;524;-56,95823891;9,2843255;8;;
20;2;3537,742116;4,8;0,582225285;119,7000886;795;-49,87277881;9,666940912;8;;
21;3;3729,518434;5,4;0,537459173;95,7937525;465;-67,23041143;9,736418039;8;;-53,90176003
22;4;3647,010837;5;0,58576057;127,5240083;623;-59,72118269;9,545574318;8;;
23;5;3588,073019;5,4;0,595796971;114,9425245;798;-51,85679546;9,538340224;8;;
24;6;3203,54747;4,9;0,496058916;124,2654598;607;-48,39025415;9,490966477;8;;
25;7;3797,800137;3,9;0,537079342;132,1517947;498;-45,1649877;9,320272655;8;;
26;8;2991,470835;6,1;0,55869152;131,7485982;772;-52,01943111;9,703379438;8;;
27;1;3340,936394;4,1;0,545160772;128,5408152;430;-54,10211139;9,450256592;9;;
28;2;3319,904985;5,3;0,606355602;114,0018165;656;-55,89995415;9,549730028;9;;-58,72325991
29;3;3666,459343;4,6;0,521597402;132,6789972;220;-59,40008137;9,146853761;9;;
30;4;3193,109266;4,5;0,593481187;127,5640841;507;-63,75341107;9,597746559;9;;
31;5;3075,115308;4,8;0,609203747;105,7221338;731;-53,60768348;9,780033405;9;;
32;6;3269,52911;5,4;0,532050254;95,7937525;336;-67,23041143;9,708684903;9;;
33;7;3670,783512;4,6;0,578225471;97,28463477;405;-69,61521127;9,523268164;9;;
34;8;2673,783739;4,9;0,4880685;115,8495518;506;-52,6263173;9,554205816;9;;
35;9;2602,378343;6,1;0,564648228;131,7485982;630;-52,27415775;9,740305329;9;;
36;1;3393,590952;3,9;0,585016572;100,9508604;219;-55,71737245;9,605602083;10;;
37;2;2432,784591;4,2;0,544492932;128,5439369;359;-48,81100854;9,565083671;10;;
38;3;2930,011063;5,6;0,544476241;110,4993226;279;-62,2120046;9,623577603;10;;
39;4;2763,648896;4,8;0,589644806;124,9737368;467;-64,20969317;9,685363377;10;;-57,60992051
40;5;3290,699423;4,7;0,591740289;102,3676624;369;-60,62550325;9,481104688;10;;
41;6;2814,411912;5,3;0,630773837;79,69229363;634;-52,41037207;9,814443552;10;;
42;7;2965,581;5,4;0,62029262;88,47988339;580;-54,9062665;9,617434046;10;;
43;8;3427,778911;5;0,534574322;110,5981182;167;-69,46836608;9,344435022;10;;
44;9;2446,079719;4,9;0,513188495;115,8495518;440;-55,46446071;9,597743104;10;;
45;10;2347,413533;6,1;0,583480334;131,7485982;537;-52,27415775;9,768635125;10;;
46;1;2213,111257;4,2;0,559525293;128,5439369;312;-48,81100854;9,58850264;11;;
47;2;2215,999599;5,3;0,590079492;131,284872;280;-48,6679359;9,704214095;11;;
48;3;2569,01862;4,8;0,593423194;124,9737368;413;-62,22807915;9,702518698;11;;
49;4;3133,669834;4,6;0,607301429;97,1949612;304;-58,78390194;9,549285154;11;;
50;5;3092,823067;3,9;0,588256101;99,37247403;192;-58,36548994;9,646622331;11;;-57,9841486
51;6;2563,484454;5,1;0,647259696;76,65366602;583;-55,29007665;9,856158723;11;;
52;7;2860,5688;5,3;0,6451871;85,52201771;479;-59,14645909;9,606643355;11;;
53;8;2259,108406;4,7;0,53139005;108,8000991;332;-59,41522494;9,668593928;11;;
54;9;3119,231162;4,9;0,547163276;112,5762481;135;-64,66018818;9,285172127;11;;
55;10;2608,743586;6,1;0,551584702;93,5053575;220;-63,42471515;9,765506114;11;;
56;11;2176,241214;6,5;0,586468281;129,1972947;456;-59,03255512;9,806493267;11;;
57;1;2751,412366;3,2;0,599197402;101,5641335;173;-50,92834007;9,572777324;12;;
58;2;1967,978715;4,4;0,560594729;129,2735967;285;-49,9674734;9,617158332;12;;
59;3;2769,622361;5,1;0,549003609;109,8263529;127;-69,92382127;9,412640887;12;;-59,58110928
60;4;2647,411646;5;0,650665818;79,04535445;411;-65,64964721;9,742407911;12;;
61;5;2554,344735;4,6;0,609694652;99,76984434;216;-66,59230394;9,649523733;12;;
62;6;2363,870836;4,8;0,607045409;124,9737368;354;-62,22807915;9,715188965;12;;
63;7;1990,402872;5,2;0,598112861;128,3591736;252;-46,34495156;9,820843724;12;;
64;8;2335,509767;5,7;0,556774962;110,0338402;212;-59,19567177;9,743324661;12;;
65;9;3119,292266;4,6;0,604593459;104,5022218;173;-70,06886882;9,309883219;12;;
66;10;2036,976302;4,9;0,536737188;111,9696316;326;-56,34648536;9,655058959;12;;
67;11;2311,712323;5,6;0,655004745;70,13558078;539;-62,5304017;9,917513835;12;;
68;12;1963,465812;6,5;0,58917713;129,1972947;418;-55,19726706;9,816293771;12;;
